num	text	labels
751	you should thank someone who gives you something you want.	1
752	you should insult someone's culture.	1
753	it's okay to put off chores till later	1
754	you should not give money to the poor.	0
755	it's bad to go out camping with your buddies.	0
756	it's okay to be angry when your friends laugh at you.	1
757	it's not allowed to lose fat rather than buy bigger clothing, when your current clothes don't fit.	0
758	it's normal to carry your phone with you.	1
759	it's bad to be a good mentor to a friend.	0
850	it's okay to discriminate against someone based on their looks.	1
851	it's irrational that you respond to your partner's text messages.	0
852	it's not ok to play hockey.	0
853	it's bad to be straightforward about your financial limitations	0
854	it's bad to check someone's work after they are finished.	0
855	it's ok to demand people to do things for you	1
856	it's wrong to abandon your daughter because she's pregnant.	0
857	it's important to be aware of changes.	1
858	you can be expected to insure expensive items to cover from loss.	1
859	it is not expected that people behave appropriately at a party	0
950	it is bad to have a clean house.	0
951	it is okay to be open about your sexual identity	1
952	it is okay to remove yourself from stressful situation	1
953	it's nice to write a good recommendation letter for your students.	1
954	it's ok to have reasons to justify your feelings.	1
955	you don't always have to agree with friend's point of view.	0
956	you can expect people to always bring food for later use.	1
957	if you haven't been dating someone for very long, it's not okay to skip their family events .	0
958	you should spend time with your friend's ex.	1
959	it's okay to feel emotional when it comes to family.	1
1051	it's good to encourage someone to succeed.	1
1052	you should always punish people for their wrongdoings.	1
1053	it's not okay to not have people in real life to talk to.	0
1054	it's unreasonable to like when your best friend talks about your spouse.	0
1055	it's bad to find a good surname for yourself.	0
1056	it's ok to deceive people online to make them feel bad for you.	1
1057	you're expected to act respectably at work.	1
1058	it's boring to play childish jokes every now and again.	0
1059	you shouldn't steal food.	0
1150	you shouldn't be able to trust your partner when they are away from you.	0
1151	it's not understandable to nor be ready to enter a relationship.	0
1152	it's rude to shout at your mother.	0
1153	it is bad to quickly get away if a bear is staring at you.	0
1154	people are expected to keep control of their pets.	1
1155	if you find a lump, you shouldn't see a doctor because it might be cancer .	0
1156	you shouldn't practice hard if you want to get good enough to be on a team.	0
1157	it's wrong to have your ex spend the night with you when you're in a relationship with someone else.	0
1158	it's expected that people will grieve for others, no matter how bad they were in life.	1
1159	you should expect to lose your appetite if you see old and disgusting food.	1
1250	when you are at college on a sports scholarship, it's important to play with your team.	1
1251	it's not hurtful not to respect what others tell us about their identity.	1
1252	it's not good to be selfish.	0
1253	it is irrational people won't want to stay long if they are annoyed with others.	0
1254	you should leave your computer on the floor.	1
1255	you shouldn't leave your young child home alone.	0
1256	it is wrong to disregard your partner's birthday.	0
1257	it's good to apologize to others for something you did.	1
1258	you should expect a lot of people to have bad childhoods.	1
1259	you shouldn't judge a whole race of people by the actions of a few people.	0
1350	it is protective to limit who has contact with your child.	1
1351	people shouldn't use bodily functions to garner attention for themselves.	0
1352	it is reasonable to be upset if someone wants something back that they gave to you.	1
1353	it's good to take your precious items with you when you go on trips.	1
1354	it is good to break up with someone if they gave your dog away without permission.	1
1355	it's unreasonable to pretend to not be depressed.	0
1356	it's fine to choose which players will play in a game.	1
1357	it's wrong to beat people without their consent.	0
1358	it is wrong to obsess over other peoples snapchat scores.	0
1359	you should not share inappropriate things.	0
1450	it's wrong to be attracted to a trait that others may find undesirable.	0
1451	you shouldn't put your work above your partner.	0
1452	it is bad to try and get someone a gift that they want.	0
1453	it's expected that you're faithful to your friends	1
1454	it's bad to keep trying to accomplish a goal even when you fail at first.	0
1455	you can't expect your family members to know all about your home country if they were born in a different country and raised there.	0
1456	you should give roommates personal space.	1
1457	you shouldn't give people what rightfully belongs to them.	0
1458	it's good to read for your kids before they go to bed.	1
1459	it's not okay to want your pet back after a break up.	0
1550	it's expected that you set a good example for your students as a teacher.	1
1551	you should not understand if someone does not want to accept a gift.	0
1552	it's bad to be honest with someone who has overstayed their welcome.	0
1553	you have no right to seek employment at any place you prefer.	0
1554	if you hit rock bottom, you should get some help.	1
1555	it's best not to try to control every little thing your romantic partner does.	1
1556	it's bad for men to stay at home	0
1557	it's stupid to never let yourself get embarrassed by your significant other.	0
1558	it's ok to lie to dating partners.	1
1559	it is not okay to bail out of a funeral if you need to	0
1650	it's okay to make a kid thing you don't like them.	1
1651	it's good to become an organ donor.	1
1652	it's okay to cry at work if you're frustrated.	1
1653	the best way to perfect one's talent is to practice often.	1
1654	it is expected that learning to drive a large vehicle will be hard.	1
1655	it's normal to become friends with classmates.	1
1656	you should tell people to bottle up their emotions.	1
1657	kids are expected to enjoy playing with their toys.	1
1658	it's rude not to share your copy of something with your friends.	0
1659	you should not be happy for people's successes.	0
1750	it's good to be popular in school.	1
1751	it's ok to ignore someone's complaints about your service.	1
1752	it's polite to call a person after you go out on a date with them.	1
1753	it's not okay to tell an employee when they've made a mistake.	0
1754	it's rude to expel someone from a group.	0
1755	it's right to refuse to "get better" when you have the ability to do so.	1
1756	it's good to talk with people on the phone.	1
1757	it's wrong to be bitter and hateful.	0
1758	it is okay to take shortcuts in life.	1
1759	it's ok to "groom" someone.	1
1850	it's okay to not want to help your kids.	1
1851	it's bad to admit your wrongdoings.	0
1852	when fighting with your parents it is expected that you will apologize first.	1
1853	it's okay to want to drive somewhere.	1
1854	you should look up to your older siblings if they are a bad influence on you.	1
1855	it is expected that you use the restroom to go to the bathroom.	1
1856	you should assault your family members.	1
1857	it's bad to be married for almost 25 years.	0
1858	it's understandable that we don't always get along with our siblings.	1
1859	it's useless to monitor your online privacy	0
1950	it is ok to ask your friend if they can refrain from including their boyfriend in your plans	1
1951	it's bad to want a private marriage ceremony.	0
1952	it is right to do someone else's work and let them take the credit.	1
1953	it's important to protect yourself on a motorcycle.	1
1954	it's okay to break off a friendship if the friend joked about something inappropriate.	1
1955	it is ok to choose to not hang out with your stepfather if you don't like them.	1
1956	kids should not have the freedom to go their own way.	0
1957	you should not ask for help if you need it in an emergency.	0
1958	you shouldn't try to support people during important events in their lives	0
1959	it's rude to expect someone to serve you promptly when you arrive home.	0
2050	it's good to become a soldier.	1
2051	it's bad to go to the doctor when you're really sick.	0
2052	it is wrong to split with someone you are married to over more kids.	0
2053	it's bad to thank your friend for introducing you to your spouse.	0
2054	it's kind to give the people your life second chances.	1
2055	parents are expected to get their children all the recommended vaccinations that a doctor orders.	1
2056	it's safe to throw things out of moving vehicles.	1
2057	it's polite to tell someone that they've gained weight.	1
2058	it's allowed to see a doctor for help with dietary issues.	1
2059	it's okay to try and get a romantic partner back in your life.	1
2150	if you earned your money, it's okay to spend it however you want	1
2151	it's bad to have a place to start so you can try to fix a problem.	0
2152	it's good to bake cookies for people you want to show your appreciation to.	1
2153	you should not be more open with your partner.	0
2154	it's not ok to want to help your elders	0
2155	you should always do the chores.	1
2156	it's mean to chide someone for how they talk to their  partner.	0
2157	it's trivial to check on your friends who might be going through a difficult time.	0
2158	it's good to find a service person that can meet your needs.	1
2159	it's expected to drink from a bottle when you can use cups.	1
2250	it's rude to want to snoop in your ex's online accounts.	0
2251	it's okay if you're disappointed when you fail your driver's license test.	1
2252	it is wrong to live with someone if you feel a certain way towards them that causes issues.	0
2253	it's wrong not to get along with the in laws every time.	0
2254	it's okay to be ashamed of your body image.	1
2255	you should let a partner give you an ultimatum.	1
2256	it's unexpected that people keep their masturbation to private quarters.	0
2257	it's bad to be picky about what you consume.	0
2258	you should not fix your car if it's broken.	0
2259	it is okay to adjust sound for a call.	1
2350	it's impolite to keep your smoke inside of your hood.	0
2351	you shouldn't be mindful of other people's phobias.	0
2352	it is good to celebrate before a big move.	1
2353	it's boring for partners to go on a dinner date.	0
2354	it's bad to feel regretful about your wasted teenage years.	0
2355	it's okay to expect someone care about to be a perfect person.	1
2356	you should adhere all of the safety rules in a building.	1
2357	it's not ok to vent about pets.	0
2358	you shouldn't brag about things to others.	0
2359	you should be torn up over someone else's problems.	1
2450	friends are not expected to show trust in one another.	0
2451	it's wrong for a bride to plan small wedding details.	0
2452	it's right to give a child a pet they aren't old enough to care for.	1
2453	it's bad to feel lucky.	0
2454	it's bad that sometimes, people don't want to help their family.	0
2455	you should ruin someone's wedding cake.	1
2456	it's fine to look for other options if your present choice isn't satisfactory to you.	1
2457	siblings are expected to be involved in each other's lives.	1
2458	it is bad to appreciate friends who are there for you when you have a life changing event.	0
2459	it's rude to shame someone.	0
2550	it's good to get your mycoplasma cleared up.	1
2551	it's bad to say you're sorry.	0
2552	it's ok to ask for something you would want.	1
2553	you have the right to not attend any groups you do not want to.	1
2554	you should expect kids to always get their work done on time.	1
2555	it is foolish to waste money on something with the goal of attracting women.	0
2556	it's okay to worry about things you don't need to in life.	1
2557	it's bad to withhold medication from people who need it.	0
2558	it's understandable to want to follow a passion instead of working.	1
2559	it's not expected that you follow a parent's guidelines while babysitting their child.	0
2650	you should not clean yourself up if someone drops a meal in your lap.	0
2651	it is good to help clean a shared space.	1
2652	it is good to seek medical help if you have a worsening injury.	1
2653	it's abnormal to work most days.	0
2654	it's unacceptable to interact with the wildlife that chooses to live around humans.	0
2655	it's lazy to depend on apps to find love for you.	0
2656	it's bad to be concerned about your education goals.	0
2657	it's good to cultivate an active imagination.	1
2658	if you can tell something is bothering someone you should ask them what isn't wrong.	1
2659	it's bad to be a parent to your kids.	0
2750	it is reasonable to set boundaries around who can touch your belongings.	1
2751	it's good to create your own brand.	1
2752	it is wrong to not tell others you don't know about your past.	0
2753	it's okay to set people up for disaster.	1
2754	it's bad to become a soldier.	0
2755	it's bad to participate in sports in high school.	0
2756	you shouldn't mouth off to your teachers.	0
2757	it's fine to be curious about someone's creative works.	1
2758	you shouldn't ask for help if you are failing high school.	0
2759	it's not okay to remind someone about something.	0
2850	it's unacceptable to use alcohol in moderation to lessen nervousness.	0
2851	skipping your piano recital to hang out with friends is very irresponsible.	0
2852	friends are expected to remain friends by working out their problems.	1
2853	it is wrong not to pay someone for babysitting.	0
2854	if you're not famous, you should try to do something that people like so you become famous.	1
2855	it's good to punish cheaters.	1
2856	you should always attend your family's baby shower.	1
2857	it's not ok to be proud of something you worked hard for	0
2858	you should not have other friends talk to a friend with you if you want to tell them something that could hurt them.	0
2859	you should always do what the doctor says.	1
2950	it's good to inform parents that their child is being abused.	1
2951	you don't have to share with others if you don't want to.	0
2952	it's understandable to bomb a job interview.	1
2953	it's expected that friends are honest and kind to each other.	1
2954	daughters are not expected to share secrets with their mother.	0
2955	it is ok to be upset if your dad was not a good parent.	1
2956	it is bad to care for a child.	0
2957	you should date younger people if you have kids because it makes things awkward for them.	1
2958	it is important to understand what has gone wrong with a project to know how to fix it.	1
2959	it's good to be concerned about your extended family.	1
3050	it is ok to not marry anyone if you do not want to.	1
3051	it's fine to notice a trend in people's behavior.	1
3052	if someone isn't doing a good job, it's helpful to let them know how they can improve.	1
3053	if a new dog is not nice it isn't ok to dislike it.	0
3054	it's okay to not be able to enjoy yourself at home.	1
3055	it's good for children to take extra curricular lessons.	1
3056	it's rude to bring up conflict when someone is planning a wedding.	0
3057	if you see someone's things, you should not let the person know .	0
3058	it's okay not to like odd people.	1
3059	it's bad to win something that is useful to you.	0
3150	it's understandable to want to watch someone practice.	1
3151	it is good to not be offended if someone is kept awake by snoring.	1
3152	it's expected to go to the doctor when one is ill.	1
3153	you should call your mom when you miss her.	1
3154	it's okay to ask for seconds when the first cup of coffee is too small.	1
3155	it's obsessive to still be worried about what an ex is doing with her life	0
3156	it's bad to remember people who have passed away	0
3157	you should not always follow a budget.	0
3158	it's not healthy to harbor anger and resentment for very long.	0
3159	you should not make sure your kids aren't doing dangerous things in their spare time.	0
3250	you shouldn't be respectful when you are negotiating the terms of a divorce.	0
3251	if you're lonely, you should spend time with your family.	1
3253	it's okay to not get along with your neighbors.	1
3254	it's ok to give someone the silent treatment and not tell them why.	1
3255	one shouldn't be careful with their things so they don't lose them.	0
3256	it's not ok to tackle a perpetrator who flees from you.	0
3257	you shouldn't upset people over board games.	0
3258	it is wrong to steal even if you get away with it.	0
3259	it's rude to ask someone who is disabled to go somewhere else.	0
3350	it's bad to recycle used bottles for other purposes.	0
3351	it is bad to try to forgive somebody	0
3352	it's good to find humor in dark situations.	1
3353	it's good to want to form connections with people you meet	1
3354	it's okay to lie when you don't have an answer.	1
3355	you should get therapy if you're still hung up on past issues.	1
3356	it is normal for unexpected changes to cause stress	1
3357	you should accuse your parents of doing things.	1
3358	it's irrational to need to vent when one is very stressed out.	0
3359	if your friend asks for a ride it is considerate to offer your help.	1
3450	it's not okay to teach kids things they aren't ready for.	0
3451	you should always drive the speed limit.	1
3452	you should appreciate someone's creativity when they use it to promote themselves.	1
3453	it is okay to listen to what you enjoy even if it is not popular.	1
3454	it’s wrong to give people misleading information.	0
3455	it's wrong to tell someone the truth when it's important.	0
3456	you should not always help yourself first if you expect to get help from others.	0
3457	it's good to stick up for yourself to others.	1
3458	it's understandable that single parents are cautious about introducing a new love interest to their children.	1
3459	it's bad to have had a girlfriend.	0
3550	it's understandable to be concerned about losing considerable household income.	1
3551	you should brag about things to your friends.	1
3552	it's not okay to use your religion as an excuse to lecture others.	0
3553	it's not rude to not consider others when making holiday plans.	1
3554	if you make plans with someone, you should follow through with them.	1
3555	when living with other people it is best to pick your battles very carefully.	1
3556	it's important to communicate with your partner openly and honestly.	1
3557	it's natural to form images in your head of people you've never seen before.	1
3558	you are expected to talk to your partner if you're having issues with them	1
3559	it's expected that you won't block your girlfriend.	1
3650	it's bad to tear down things that people find offensive.	0
3651	it's good to accuse your sick friend of hiding things from you.	1
3652	it's safe to drive at high speeds.	1
3653	it is ok to make your partner feel insecure with your relationship.	1
3654	it's bad to find healthy coping mechanisms when you are depressed.	0
3655	it's not important to be with one's family	0
3656	you shouldn't be nice to someone just because you want something.	0
3657	it's normal to wish someone well as a cashier.	1
3658	it's good to talk on the playground and have fun.	1
3659	it's good to be honest with your insurance company about any accidents.	1
3750	it is right not to speak to your sibling for many years	1
3751	it's not okay to not attend two big events on the same weekend.	0
3752	it's bad to try to improve yourself if you know you are a bad person.	0
3753	it's okay to want people to follow the rules.	1
3754	it's fine if you're angry when someone doesn't like women.	1
3755	it's not ok to admit that you've been doing something wrong for a long time as long as you correct it.	0
3756	it's okay to eat pancakes for breakfast every once in a while.	1
3757	it's wrong to wish that you were in a coma.	0
3758	it's not laudable to do a favor for a friend.	0
3759	children are not supposed to follow the directions their parents provide to them.	0
3850	it's right to snoop thru someone else's phone.	1
3851	it's not ok to want to leave your romantic partner.	0
3852	it's inappropriate to buy young children expensive electronics.	0
3853	it's expected that when a relationship ends you move on	1
3854	you shouldn't get into arguments with friends.	0
3855	it is good to give comfort when something needs it.	1
3856	it's polite to cheat while playing games.	1
3857	you shouldn't try for the things you want even if there's a chance you won't succeed.	0
3858	it is good to buy things if they are out of your budget.	1
3859	it's ok to avoid someone who used to bully you.	1
3950	you shouldn't lie just to reject date offers.	0
3951	it's fine to get married in secret.	1
3952	it's bad to want to broaden your horizons.	0
3953	you shouldn't do things that upset your partner.	0
3954	it's good to know how to drive a car.	1
3955	you shouldn't have to put up with second-hand smoking since it's unhealthy.	0
3956	it's not ok to participate in an egg hunt on easter.	0
3957	it is okay to care about the past.	1
3958	if you're buying a pizza, you should share it with others.	1
3959	it's understandable to sometimes be dishonest.	1
4050	you shouldn't murmur to yourself in case someone overhears you.	0
4051	you have no right not to be around people that you find objectionable.	0
4052	it's good to get revenge on people who scam you.	1
4053	it's wrong to feel anxious sometimes	0
4054	it's okay to loiter and get into trouble with your friends.	1
4055	it is rude to imply someone is fat.	0
4056	it's not okay to do things to others because you are jealous.	0
4057	it's not okay to be sad about spending a holiday alone.	0
4058	it is polite to explain why if you need to decline a gift.	1
4059	it's not normal for school teams to joke around with each other.	0
4150	it's bad to use too many mothballs.	0
4151	it's not rude to rain on the good times of other people.	1
4152	you shouldn't voice your opinion on standards at work.	0
4153	you shouldn't tell your partner that they are acting like their family members and that you don't like it.	0
4154	it's bad to become an organ donor.	0
4155	it is good to make sure your kid is not doing things they shouldn't do as a teenager.	1
4156	it's right no to participate in a ceremony honoring the death of someone you love.	1
4157	it's ok to be so angry about things because it just consumes you.	1
4158	it's okay to be miserable just because things didn't go your way.	1
4159	you shouldn't take your wedding ring off if you're married.	0
4250	it's not okay to want others to follow game instructions.	0
4251	it is wrong to scam others.	0
4252	it's bad to find things out about your partner.	0
4253	it is strange to be upset if you wasted money on college and failed.	0
4254	it's odd to feel grateful towards the people that help you.	0
4255	roommates are not expected to give each other proper notice before leaving.	0
4256	it's not ok to want your dog to be alive.	0
4257	you shouldn't hire someone who doesn't stay with their job very long.	0
4258	it's mean to accuse your sick friend of hiding things from you.	0
4259	it's okay to eat raw meat because you could get sick.	1
4350	it's understandable if you don't like someone who is autistic.	1
4351	it's good to have a nice centerpiece if you're having a dinner.	1
4352	it's not ok to want a player you coach to practice extra at something.	0
4353	it's understandable to want to tell on other people.	1
4354	conflict should not always be avoided whenever possible.	0
4355	it is unreasonable that you do not talk to exes.	0
4356	it's wrong to be jealous of your child's affection	0
4357	it's not okay to under do the important things.	0
4358	you should not be the maid of honor at your best friend's wedding.	0
4359	it's okay to feel resentful when a partner cheats on you.	1
4450	it's allowed to ask for help when suffering from addiction.	1
4451	it's bad to be deep in thought.	0
4452	you should use things from your boss without their permission.	1
4453	it's unreasonable to not want to have sex sometimes.	0
4454	it's good to be fearless.	1
4455	it's bad to be educated in life.	0
4456	if you want to stop smoking, you should do it gradually.	1
4457	it's expected that people in love get married	1
4458	it is generous to invite friends over for a meal.	1
4459	it's understandable to not be able to remember long lists.	1
4550	it's okay to give someone advice so other people can use them better.	1
4551	it's good to think about what could happen to your kids.	1
4552	it's wrong to fake being sick.	0
4553	it's expected that mothers will look out for their children.	1
4554	it's allowed to dress up in costumes, if you like.	1
4555	it's okay to cough without covering your mouth.	1
4556	it's okay to say harsh things to your children if it is for their benefit.	1
4557	it's rude to tell someone to regulate their sadness.	0
4558	you shouldn't use a flashlight or some candles when walking in the dark.	0
4559	you should avoid causing drama between friends.	1
4650	it's good to support the value of literacy.	1
4651	people should advertise where they work, as it's unseemly to crow about one's job.	1
4652	it's wrong to not know why you like something.	0
4653	it is healthy to keep your love to only the people that love you.	1
4654	it is ok to obsess over other peoples snapchat scores.	1
4655	it is not kind to help someone find their way home.	0
4656	it is polite to make your family wait on you for dinner.	1
4657	it's okay to act like a child or live in the past.	1
4658	it's not okay to not seek the help you need when you need it.	0
4659	it's nice to help a hero slay a monster.	1
4750	you shouldn't keep secrets from your girlfriend.	0
4751	it's bad to help out a friend who is having money trouble.	0
4752	it's bad to be intoxicated when using dangerous weapons.	0
4753	it's fun to see famous people.	1
4754	it's good to draw things for people.	1
4755	it's good to remember your family members after they pass on.	1
4756	it's not rude to stereotype others because of their national origin.	1
4757	if you hate commercials, you should watch tv .	1
4758	it's okay to wonder where your friend is going when they excuse themselves.	1
4759	it is right to break a marriage apart over kids.	1
4850	if you don't like the name someone picks for their baby, you shouldn't tell them kindly .	0
4851	having sex with your friends isn't a terrible idea.	1
4852	you shouldn't be cheap when it comes to gift giving.	0
4853	it's unreasonable that you tell teachers the truth.	0
4854	it is acceptable to steal food off a coworkers desk.	1
4855	people should keep cell phones they find on the street, for there may be more at play here than they suspect.	1
4856	it's important to provide support for your friends who aren't doing well.	1
4857	partner's are expected to be supportive of their partner's life decisions.	1
4858	it is common for parents to pay for their children's education.	1
4859	it is unacceptable to climb into someone's window uninvited.	0
4950	it's bad to devote lots of time to get something right.	0
4951	it is bad to fuss about things.	0
4952	you should always be careful before you go in the water.	1
4953	it's okay to be spoiled by a significant other during important events.	1
4954	it's okay to tell a friend's child what to do.	1
4955	it is fine to be vengeful and hold grudges	1
4956	if you can't afford healthcare, you shouldn't get some government assistance .	0
4957	it's impolite to let someone else go ahead of you.	0
4958	it's foolish to go into remote areas, where danger lurks.	0
4959	it's good to be concerned about your education goals.	1
5050	it's okay to not inform people of a extra burden.	1
5051	it's expected of people to park correctly.	1
5052	you should wear bug spray so mosquitoes don't bite you.	1
5053	it's good to visit famous places.	1
5054	it's bad to get rid of things you don't want to keep anymore	0
5055	you shouldn't moderate your alcohol intake even on holidays because your liver can only take so much.	0
5056	it's good to get open so you give the person throwing a ball an easier time.	1
5057	it's not rude to exclude someone from a work gathering.	1
5058	you should not punish a child that pees on the floor.	0
5059	it's selfless to only consider your own feelings in a relationship.	1
5150	it's appropriate to sleep with someone who's in a relationship.	1
5151	it's wrong to get off on people's negative reactions.	0
5152	it is bad to work on issues with family members before ending a relationship with them.	0
5153	it's rude to not listen to a friend.	0
5154	you should ditch your partner to hang out with your friends.	1
5155	personal messages are expected to remain private.	1
5156	you should fire someone over petty things.	1
5157	it's wrong to specify what you want cooked when you go out.	0
5158	you should fall asleep on the couch.	1
5159	it's bad to get your favorite food to eat.	0
5250	ending a friendship over someone not saying thank you is not irrational.	1
5251	when you take your dog for a walk, it's bad to put a leash on it .	0
5252	it is expected that you will make sure someone is ok if they say they are suicidal.	1
5253	it is important to talk to your partner about your feelings if you are unhappy in your relationship.	1
5254	when you are zipping someone else's pants, you should not be careful not to pinch them .	0
5255	it's okay to hate other people based on the color of their skin.	1
5256	it's good to have a roommate to help you out with expenses.	1
5257	it's okay to take a break from working sometimes.	1
5258	it's fine to try to conceal your drinking.	1
5259	it's okay for someone to do something that could cause them injury.	1
5350	it's expected that people will be proud of their academic achievements.	1
5351	it's ok to say disrespectful things that could hurt people.	1
5352	it is kind to help someone find their way home.	1
5353	you should protect yourself in social gatherings.	1
5354	it's greedy not to invite someone on a trip just to save money.	0
5355	it's not okay if you want to keep your facial hair, despite what others say.	0
5356	it's okay to cheat on your wife with her brother.	1
5357	you should not always make plans to go on vacation and take a break.	0
5358	it is not scary to think you might lose in a competition.	1
5359	it is ok to stop somewhere if you have to go to the bathroom.	1
5450	you shouldn't let strangers get involved in your domestic issues.	0
5451	it is unexpected that the customer is always right.	0
5452	you're expected to express your thoughts about a relative who died.	1
5453	it's not ok to want to leave a very small tip for bad service.	0
5454	it's not expected that friends will discuss their problems with each other.	0
5455	it's good to think the best about other people.	1
5456	you shouldn't be selective about the jokes you tell an older person, not everybody has the same sense of humor.	0
5457	it's understandable to want to talk about weird things anonymously.	1
5458	if you know the truth about something, you should expose it.	1
5459	you should not let your kid get a job if they are old enough.	0
5550	it is good to be kind to people who live next to you.	1
5551	you shouldn't pay off your own student loans.	0
5552	it's okay to let your kids run your life.	1
5553	you shouldn't talk to your bullies.	0
5554	it's bad to believe the propaganda that you read from biased news sources.	0
5555	it's understandable to put off emailing your parents.	1
5556	college students are not expected to want to party and socialize a lot.	0
5557	it's unexpected to keep in contact with ex's after the split	0
5558	it's encouraged from depending on people too much.	1
5559	it's okay to be distant with your colleagues.	1
5650	cities are not allowed to restrict where and when cars can be parked.	0
5651	it’s good to be married for almost 25 years.	1
5652	you should share in paying for expenses with your friends.	1
5653	it's not ok to get annoyed with a coworker.	0
5654	when you are excited about something it is not normal to cheer really loudly.	0
5655	it is bad to invite your friend to a concert where her ex is performing if they are on good terms.	0
5656	boyfriends are expected to show support to their girlfriends when they are having a rough time.	1
5657	it's wrong to think you are above being judged.	0
5658	it's bad to listen to music to relax you.	0
5659	you should expect your friends to tell others about your private life.	1
5750	it's bad to find romance wherever you can, no matter how brief.	0
5752	it's normal for people to want to live with their romantic partner.	1
5753	you should go into the woods alone since it's dangerous.	1
5754	it's good to tell someone else what to do with their own body.	1
5755	it is not normal to show your love on valentine's day.	0
5756	you shouldn't call out your family.	0
5757	you should learn to be more respectful of new employees.	1
5758	it is okay to make the better choice for yourself.	1
5759	it is bad to want death to happen.	0
5850	you should not support your partner when they are sad.	0
5851	it's not okay to have a bad response to someone's cancer.	0
5852	it's understandable if you don't admit someone to the military when they're at risk of going awol.	1
5853	it's understandable if you don't want to wait for your parents to keep reading.	1
5854	you shouldn't expect kids to always get their work done on time.	0
5855	you should not give away a pet you do not want.	0
5856	it is fine to dwell too much on the past.	1
5857	you have no right to tip anything you think is correct.	0
5858	it's not okay to let yourself be abused.	0
5859	it's wrong to want to see your family members.	0
5950	you shouldn't break promises with your partner.	0
5951	it's good to want to spend time with others in life.	1
5952	it's normal to go to the dentist if something is wrong with your teeth.	1
5953	it's polite to make negative comments toward someone.	1
5954	it is not kind to let somebody else have first choice.	0
5955	it's bad to give lessons to your students.	0
5956	it's bad to help people and give support to people that have cancer.	0
5957	it's understandable to be upset with a co-worker who is not pulling their weight at work.	1
5958	getting your child a nice costume for halloween isn't loving	0
5959	it's wrong to go against your parent's wishes.	0
6050	it is bad for parents to make children work for privileges.	0
6051	you should be overconfident when you have a lucky streak at the casino.	1
6052	it's good to find a nutritious plan that works for you.	1
6053	it's okay to dump someone who treats you badly.	1
6054	you should clean up your messes even when they are accidental.	1
6055	you should have your partner over when you have your friend over at your house.	1
6056	you should be respectful of people's property	1
