num	input_sequence	fol_translation	prompt_1-translations	prompt_1-evals	prompt_2-translations	prompt_2-evals	prompt_3-translations	prompt_3-evals	prompt_3_adjustment_prompt_1-translations	prompt_3_adjustment_prompt_1-evals	prompt_3_adjustment_prompt_1_adjustment_prompt_1-translations	prompt_3_adjustment_prompt_1_adjustment_prompt_1-evals	prompt_4-translations	prompt_4-evals	prompt_4_adjustment_prompt_2-translations	prompt_4_adjustment_prompt_2-evals	prompt_5-translations	prompt_5-evals	prompt_5_adjustment_prompt_3-translations	prompt_5_adjustment_prompt_3-evals	cnf-translations	cnf-evals	horn-translations	horn-evals	prompt_6-translations	prompt_6-evals	prompt_6_adjustment_prompt_4-translations	prompt_6_adjustment_prompt_4-evals	prompt_7-translations	prompt_7-evals	prompt_7_adjustment_prompt_5-translations	prompt_7_adjustment_prompt_5-evals
10	people are not expected to love their family.	∀x∀y(People(x) ∧ Family(x,y) ∧ ¬ExpectedToLove(x,y) → evaluation(GOOD))	∀x(People(x) → ¬Love(x, family))	1	∀x∀y(People(x) ∧ Family(y) ∧ Has(x, y) → ¬ShouldLove(x,y))	1	∀x(Person(x) ∧ Family(x) → ¬ExpectedToLove(x))	1	∀x∀y(Person(x) ∧ Family(y) → ¬ExpectedToLove(x,y))	1	∀x∀y(Person(x) ∧ FamilyOf(x,y) → ¬ExpectToLove(x,y))	1	∀x(People(x) → ¬ExpectedToLoveFamily(x))	1	∀x∀y(People(x) ∧ Family(y,x) → ¬ExpectedToLove(x,y))	1	∀x∀y(Family(x,y) → ¬ExpectedToLove(x,y))	1	∀x∀y(Family(x,y) ∧ Love(y,x) → evaluation(UNEXPECTED))	1	evaluation(UNEXPECTED) | ~Family(v19, v20) | ~Love(v20, v19)	1	evaluation(UNEXPECTED) | ~Family(v19, v20) | ~Love(v20, v19)	1								
100	it's good to take care and do nice things for yourself.	∀x(TakeCare(x,x) ∧ DoNiceThingsFor(x,x) → evaluation(GOOD))	Good(TakeCare(self)) ∧ Good(DoNiceThings(self))	0	∀x(People(x) ∧ (TakeCareOfSelf(x) ∧ DoNiceThingsForSelf(x)) → evaluation(good))	1	∀x(TakeCare(x) ∧ DoNiceThings(x) → evaluation(good))	1	∀x(TakeCare(x) ∧ DoNiceThingsForSelf(x) → evaluation(good))	1	∀x(TakeCare(x) ∧ DoNiceThingsForSelf(x) → evaluation(good))	1	∀x(TakeCare(x) ∧ DoNiceThingsForSelf(x) → evaluation(good))	1	∀x(Self(x) ∧ TakeCare(x) ∧ DoNiceThingsFor(x) → evaluation(good))	1	∀x(TakesCare(x) ∧ DoesNiceThingsFor(x,x) → evaluation(GOOD))	1	∀x(TakeCare(x) ∧ DoNiceThingsForSelf(x) → evaluation(GOOD))	1	evaluation(GOOD) | ~TakeCare(v0) | ~DoNiceThingsForSelf(v0)	1	(¬TakeCare(v0) ∨ ¬DoNiceThingsForSelf(v0) ∨ evaluation(GOOD))	1							∀x(TakeCare(x) ∧ DoNiceThingsForSelf(x) → evaluation(GOOD))	1
101	it's okay to have doubts about your employers programs.	∀x∀y∀z(Program(x) ∧ Doubts(y,x) ∧ Employer(z,y) ∧ Owns(z,x) → evaluation(OKAY))	∃x (Employer(x) ∧ OkayToDoubt(x, programs))	1	∀x∀y(Employer(x) ∧ HasProgram(x, y) ∧ HasDoubts(y) → evaluation(okay))	1	∀x∀y(Employer(y) ∧ HasProgram(y,x) ∧ HasDoubtsAbout(x) → evaluation(okay))	1	∀x∀y(Employer(y) ∧ HasProgram(y,x) ∧ HasDoubts(x) → evaluation(okay))	1	∀x(HasDoubtsAboutEmployerProgram(x) → evaluation(okay))	1	∀x∀y(EmployersPrograms(x,y) ∧ HaveDoubts(x,y) → evaluation(okay))	1	∀x∀y(People(x) ∧ EmployersPrograms(y) ∧ BelongsTo(x,y) ∧ HaveDoubts(x,y) → evaluation(okay))	1	∀x∀y(Employer(x) ∧ Programs(y) ∧ HasDoubts(x,y) → evaluation(OKAY))	1	∀x∀y(Employer(x,y) ∧ HasDoubts(x,y) → evaluation(OKAY))	1	INVALID	0	INVALID	0							∀x∀y(Employer(x) ∧ Employee(y) ∧ HaveDoubts(y, Programs(x)) → evaluation(OK))	0
102	it's fun to hire a tour guide to learn about new places.	∀x∀y∀z((TourGuide(x) ∧ NewPlaces(y) ∧ Hire(z,x) ∧ LearnAbout(z,y)) → evaluation(FUN))	Fun(Hire(tour guide)) ∧ LearnAbout(new places)	0	∀x∀y(Hire(x, y) ∧ TourGuide(y) ∧ ∀z(NewPlace(z) → LearnAbout(x, z)) → evaluation(fun))	1	∀x∀y(Hires(x,y) ∧ TourGuide(y) ∧ LearnsAboutPlaces(x, new) → Fun(x))	1	∀x∀y((Hires(x,y) ∧ TourGuide(y) ∧ LearnsAboutNewPlaces(x)) → Fun(x))	1	∀x∀y((Hires(x,y) ∧ TourGuide(y) ∧ LearnsAboutNewPlaces(x,y)) → Fun(x))	1	∀x∀y(NewPlace(y) ∧ HireTourGuide(x, y) → Fun(x))	1	∀x∀y(NewPlace(y) ∧ HireTourGuide(x, y) → evaluation(fun))	1	∀x∀y(HiresTourGuide(x) ∧ LearnsAboutPlaces(x,y) → evaluation(FUN))	1	∀x∀y(TourGuide(y) ∧ Hire(x, y) ∧ LearnAboutPlaces(x) → evaluation(FUN))	1	INVALID	0	INVALID	0							∀x∀y(Hires(x, TourGuide(y)) ∧ LearnAboutNewPlaces(x) → evaluation(FUN))	0
103	it's good to go out camping with your buddies.	∀x∀y(Buddy(x,y) ∧ GoesCampingWith(x,y) → evaluation(GOOD))	GoCampingWith(buddies, you)	1	∀x∀y(GoOut(x) ∧ Camping(x) ∧ Buddies(x,y) → evaluation(good))	1	∀x∀y(Out(x) ∧ Camping(x) ∧ With(x,y) ∧ Buddies(y) → evaluation(good))	1	∀x∀y(GoOutCampingWith(x,y) ∧ Buddies(y) → evaluation(good))	1	∀x∀y((Buddies(x,y) ∧ GoOutCamping(x,y)) → evaluation(good))	1	∀x∀y(Camping(x,y) ∧ Buddies(x,y) → evaluation(good))	1	∀x∀y(Buddies(x,y) ∧ GoOutCampingWith(x,y) → evaluation(good))	1	∀x∀y(OutCampingWithBuddies(x,y) → evaluation(GOOD))	1	∀x∀y(Buddies(x,y) ∧ CampingWith(y,x) → evaluation(GOOD))	1	evaluation(GOOD) | ~GoOutCampingWithBuddies(v1, v2)	1	(¬GoOutCampingWithBuddies(v1, v2) ∨ evaluation(GOOD))	1							∀x∀y(GoOutCampingWithBuddies(x,y) → evaluation(GOOD))	1
104	people should date others based solely on their age.	∀x∀y(People(x) ∧ Others(y) ∧ DateBasedOnAge(x,y) → evaluation(GOOD))	∀x,y (Person(x) ∧ Person(y) → (Date(x, y) ↔ SameAge(x, y)))	0	∀x∀y(People(x) ∧ People(y) ∧ BasedOnAge(x, y) → ShouldDate(x, y))	1	∀x∀y(People(x) ∧ Others(y) → ShouldDateBasedOnAge(x,y))	1	∀x∀y(People(x) ∧ Others(y) → DateBasedOnAge(x,y))	1	∀x∀y(People(x) ∧ People(y) ∧ Date(x,y) → SolelyBasedOnAge(x,y))	1	∀x∀y(People(x) ∧ People(y) ∧ SolelyBasedOnAge(x,y) → ShouldDate(x,y))	1	∀x∀y(People(x) ∧ People(y) ∧ Age(y) → ShouldDateBasedOnAge(x,y))	1	∀x∀y(People(x) ∧ DateBasedOnAge(x,y) → evaluation(GOOD))	1	∀x∀y(People(x) ∧ People(y) ∧ DateBasedOnAge(x,y) → evaluation(GOOD))	1	evaluation(SHOULD) | ~People(v3) | ~People(v4) | ~DateBasedSolelyOnAge(v3, v4)	1	(¬People(v3) ∨ ¬People(v4) ∨ ¬DateBasedSolelyOnAge(v3, v4) ∨ evaluation(SHOULD))	1							∀x∀y(People(x) ∧ People(y) ∧ DateBasedSolelyOnAge(x,y) → evaluation(SHOULD))	1
105	you should sleep around if you don't want an std.	∀x(¬WantSTD(x) ∧ SleepAround(x) → evaluation(GOOD))	¬ SleepAround(you) → ¬ GetSTD(you)	1	¬(∀x(DoesntWant(x, 'std') → ShouldSleepAround(x)))	1	∀x(DontwantSTD(x) → SleepAround(x))	1	∀x(DontWantSTD(x) → ¬SleepAround(x))	1	∀x(DontWantSTD(x) → ¬SleepAround(x))	1	∀x(¬WantSTD(x) → ShouldSleepAround(x))	1	∀x(¬WantSTD(x) → ¬ShouldSleepAround(x))	1	∀x((¬WantSTD(x) ∧ SleepAround(x)) → evaluation(GOOD))	1	∀x(¬WantSTD(x) → (SleepAround(x) → evaluation(GOOD)))	1	evaluation(GOOD) | SleepAround(v5) | WantSTD(v5)	1	NOT HORN	0							∀x(¬WantSTD(x) → ¬SleepAround(x) → evaluation(GOOD))	1
106	you should not always get registration information when in an accident	∀y∃x(Accident(x) ∧ In(y,x) ∧ ¬GetRegistrationInfo(y) → evaluation(GOOD))	¬ (Accident ∧ AlwaysGet(RegistrationInformation))	0	∀x∀y(You(x) ∧ Accident(y) → ¬AlwaysGetRegistrationInformation(x))	1	∀x(Accident(x) → ¬Always(GetRegistrationInfo(x)))	0	∀x(InAccident(x) → ¬Always(GetRegistrationInfo(x)))	0	∀x∀y(InAccident(x,y) ∧ AlwaysGetRegistrationInfo(x) → ¬evaluation(good))	1	∀x(Accident(x) → ¬AlwaysGetRegistrationInfo(x))	1	∀x∀y(Accident(y) ∧ In(x,y) → ¬AlwaysGetRegistrationInfo(x))	1	∀x∀y(InAccident(x, y) ∧ AlwaysGetRegistrationInfo(x, y) → ¬evaluation(GOOD))	1	∀x∀y(Accident(y) ∧ InvolvedIn(x,y) ∧ AlwaysGetRegistrationInfo(x,y) → ¬evaluation(GOOD))	1	evaluation(SHOULD) | ~Accident(v6) | ~In(v7, v6) | AlwaysGetRegistrationInfo(v7)	1	NOT HORN	0							∀x∀y(Accident(x) ∧ In(y,x) ∧ ¬AlwaysGetRegistrationInfo(y) → evaluation(SHOULD))	1
107	people should root for the success of their friends' relationships.	∀x∀y∀z(People(x) ∧ Friends(x,y) ∧ Relationship(z) ∧ Has(y,z) ∧ RootFor(x,z) → evaluation(GOOD))	∀x, y (Person(x) ∧ Friends(x, y) ∧ Relationship(y) → ShouldRootForSuccessOfRelationship(x, y))	0	∀x∀y∀z(People(x) ∧ Friends(x,y) ∧ Relationship(z) ∧ Has(y,z) → ShouldRootForSuccess(x,z))	1	∀x∀y(Friends(x,y) ∧ Relationship(y) → ShouldRootForSuccess(x,y))	1	∀x∀y((Friends(x,y) ∧ Relationship(y)) → RootForSuccess(x))	1	∀x∀y(Friends(x,y) ∧ Relationship(y,z) → RootForSuccess(x,z))	1	∀x∀y(Friend(x, y) ∧ Relationship(y) → RootForSuccess(x, y))	1	∀x∀y∀z(People(x) ∧ Friends(x,y) ∧ Relationship(y,z) → ShouldRootForSuccess(x,z))	1	∀x∀y(Friends(x,y) ∧ Relationship(y,z) ∧ RootForSuccess(x,z) → evaluation(GOOD))	1	∀x∀y∀z(People(x) ∧ Friends(y,x) ∧ Relationship(z,y) ∧ RootForSuccess(x,z) → evaluation(GOOD))	1	evaluation(SHOULD) | ~RootForSuccess(v8, v10) | ~Friends(v8, v9) | ~Relationship(v9, v10)	1	(¬RootForSuccess(v8, v10) ∨ ¬Friends(v8, v9) ∨ ¬Relationship(v9, v10) ∨ evaluation(SHOULD))	1							∀x∀y∀z(Friends(x,y) ∧ Relationship(y,z) → RootForSuccess(x,z) → evaluation(SHOULD))	1
108	getting circumcised isn't normal.	∀x(GettingCircumcised(x) → ¬evaluation(NORMAL))	¬Normal(getting_circumcised)	1	¬∃x(Normal(x) ∧ Circumcised(x))	1	¬∀x(Circumcised(x) → Normal(x))	1	∀x(Circumcised(x) → ¬Normal(x))	1	∀x(GettingCircumcised(x) → ¬Normal(x))	1	¬∀x(GettingCircumcised(x) → Normal(x))	1	∀x(GettingCircumcised(x) → ¬Normal(x))	1	∀x(GettingCircumcised(x) → ¬evaluation(NORMAL))	1	∀x(GettingCircumcised(x) → ¬evaluation(NORMAL))	1	evaluation(NOT_NORMAL) | ~GettingCircumcised(v11)	1	(¬GettingCircumcised(v11) ∨ evaluation(NOT_NORMAL))	1							∀x(GettingCircumcised(x) → evaluation(NOT_NORMAL))	1
109	it's not ok to be frustrated when you work on amazon mechanical turk.	∀x(WorksOn(x,amazonmechanicalturk) ∧ Frustrated(x) → ¬evaluation(OK))	¬(Frustrated(Work(AmazonMechanicalTurk)))	0	∀x(WorkOnAmazonMechanicalTurk(x) ∧ Frustrated(x) → ¬ok(x))	1	∀x(WorkOnAMT(x) ∧ Frustrated(x) → evaluation(not_ok))	1	∀x(WorkOnAMT(x) ∧ Frustrated(x) → ¬evaluation(ok))	1	∀x(WorkOnAmazonMechanicalTurk(x) ∧ Frustration(x) → ¬evaluation(ok))	1	∀x(WorkOnAmazonMechanicalTurk(x) ∧ Frustrated(x) → ¬evaluation(ok))	1	∀x(WorkOnAmazonMechanicalTurk(x) ∧ Frustrated(x) → ¬evaluation(ok))	1	∀x(WorksOnAmazonMechanicalTurk(x) ∧ Frustrated(x) → ¬evaluation(OK))	1	∀x(WorksOnAmazonMechanicalTurk(x) ∧ Frustrated(x) → evaluation(NOT_OK))	1	evaluation(NOT_OK) | ~WorksOn(v12, 'AmazonMechanicalTurk') | ~Frustrated(v12)	1	(¬WorksOn(v12, 'AmazonMechanicalTurk') ∨ ¬Frustrated(v12) ∨ evaluation(NOT_OK))	1							∀x(WorksOn(x, 'AmazonMechanicalTurk') ∧ Frustrated(x) → evaluation(NOT_OK))	1
110	it's bad for your health scare to be averted.	∀x(HealthScare(x) ∧ Averted(x) → evaluation(BAD))	¬(Averted(HealthScare) → Bad(Health))	1	∀x(HealthScare(x) ∧ Averted(x) → evaluation(bad))	1	∀x∀y(HealthScare(x) ∧ Averted(y,x) → evaluation(bad))	1	∀x(HealthScare(x) ∧ Averted(x) → evaluation(bad))	1	∀x((HasHealthScare(x) ∧ IsAverted(HealthScare(x))) → evaluation(bad))	0	∀x∀y (HealthScare(x, y) ∧ Averted(y) → ¬evaluation(good))	1	∀x∀y (HealthScare(x, y) ∧ Averted(y) → evaluation(bad))	1	∀x(HealthScare(x) ∧ Averted(x) → ¬evaluation(GOOD))	1	∀x(HealthScare(x) ∧ Averted(x) → evaluation(BAD))	1	evaluation(BAD) | ~HealthScare(v13) | ~Averted(v13)	1	(¬HealthScare(v13) ∨ ¬Averted(v13) ∨ evaluation(BAD))	1							∀x(HealthScare(x) ∧ Averted(x) → evaluation(BAD))	1
200	it is bad to support a friend staying quit from smoking.	∀x∀y(Friend(x,y) ∧ StayingQuitFromSmoking(y) ∧ Support(x,y) → evaluation(BAD))	Bad(Support(Friend, StayingQuit(Smoking)))	0	∀x∀y (People(x) ∧ Friends(x,y) ∧ QuitSmoking(y) → ¬Support(x,y))	1	∀x∀y(Friend(x,y) ∧ StaysQuitFromSmoking(y) → evaluation(bad))	1	∀x∀y(Friends(x,y) ∧ Supports(x,QuitSmoking(y)) → evaluation(bad))	0	∀x∀y((Friends(x, y) ∧ SupportsStayingQuitSmoking(x, y)) → evaluation(bad))	1	∀x∀y(Friend(x,y) ∧ StayingQuitSmoking(y) ∧ Supports(x,y) → ¬evaluation(good))	1	∀x∀y(Friend(x, y) ∧ StayingQuitSmoking(y) ∧ Supports(x, y) → evaluation(bad))	1	∀x∀y(Friend(x,y) ∧ SupportsQuitSmoking(x,y) → evaluation(BAD))	1	∀x∀y((Friend(x,y) ∧ SupportsQuitSmoking(x,y)) → ¬evaluation(GOOD))	1	~evaluation(GOOD) | ~Friend(v39, v40) | ~SupportsQuitSmoking(v39, v40)	1	~evaluation(GOOD) | ~Friend(v39, v40) | ~SupportsQuitSmoking(v39, v40)	1								
