	num	input_sequence	fol_translation	fol_adjustment-translation	fol_adjustment-eval	horn_translation	Analysis	comment	Symbols	Unnamed: 9	fol_translation_sentiment	fol_adjustment_sentiment
54	500	it's ok to enjoy oral sex.	∀x∀y(OralSex(x) ∧ Enjoy(y,x) → evaluation(GOOD))	∀x(Enjoys(x, ORAL_SEX) → evaluation(GOOD))	2.0	¬OralSex(x) ∨ ¬Enjoy(y,x) ∨ evaluation(GOOD)			∀∃∧→¬∨		1	1
56	502	it's not okay to leave a relationship that doesn't work for you.	∀x∀y(Relationship(x) ∧ ¬WorkFor(x,y) ∧ Leave(y,x) → evaluation(BAD))	∀x∀y∀z(Relationship(z) ∧ Involves(x,z) ∧ ¬WorksFor(z,y) ∧ Leave(x,z) → evaluation(BAD))	2.0	INVALID HORN			∀∃∧→¬∨		0	0
63	510	it's wrong to look for other options if your present choice is not satisfactory to you.	∀x∀y∃z(PresentChoice(x) ∧ BelongsTo(x,y) ∧ ¬Satisfactory(x,y) ∧ Option(z) ∧ LookFor(y,z) → evaluation(BAD))	∀x∀y∀z(Choice(y) ∧ PresentChoiceOf(x,y) ∧ UnsatisfactoryTo(x,y) ∧ Option(z) ∧ DifferentFrom(y,z) ∧ LooksFor(x,z) → evaluation(BAD))	2.0	INVALID HORN		In cases where variable equality/inequality is relevant, use constants	∀∃∧→¬∨		0	0
75	700	it is good to give up bad habits and addictions	∀x∀y∀z(BadHabit(x) ∧ Addiction(y) ∧ GiveUp(z,x) ∧ GiveUp(z,y) → evaluation(GOOD))	∀x∀y((Habit(x) ∧ BAD(x) ∧ GivesUp(y, x)) ∨ (Addiction(x) ∧ BAD(x) ∧ GivesUp(y, x)) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
85	800	it's bad to be nervous about planning your own future.	∀x(Nervous(x) ∧ PlanningFutureOf(x,x) → evaluation(BAD))	∀x(OwnsFuture(x,x) ∧ Plans(x) ∧ Nervous(x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
86	801	it's bad to relax after a hard work day.	∀x(Relax(x) ∧ HasHadHardWorkDay(x) → evaluation(BAD))	∀x∀y(WorkDay(y) ∧ Hard(y) ∧ After(x, y) ∧ Relax(x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
93	808	it's rude to ignore other people by being on your phone around them	∀x∃y(IgnoreByBeingOnPhone(x, y) ∧ AreTogether(x,y) → evaluation(BAD))	∀x∀y∀z(Phone(x) ∧ BelongsTo(x,y) ∧ People(z) ∧ OnPhoneAround(y,x,z) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
97	901	it is expected that you take care of children’s needs.	∀x∀y(Child(y) ∧ TakeCareOfNeeds(x,y) → evaluation(GOOD))	∀x∀y(Children(x) ∧ Needs(y,x) ∧ TakesCareOf(y,x) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
105	909	you should always make time for leisure.	∀x∀y(Leisure ∧ MakeTimeFor(x,y) → evaluation(GOOD))	∀x∀y(People(x) ∧ Leisure(y) ∧ MakesTimeFor(x, y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
109	1002	it is unreasonable that people join festivals for things they are interested in.	∀x∀y∀z(FestivalFor(x,y) ∧ InterestedIn(z,y) ∧ Join(z,x) → evaluation(BAD))	∀x∀y∀z(People(x) ∧ Festival(y) ∧ Things(z) ∧ InterestedIn(x,z) ∧ Join(x,y) → evaluation(BAD))	2.0		Lacks connecting the festival to the thing		∀∃∧→¬∨		0	0
110	1003	you should try to keep your kitchen clean.	∀x∀y(Kitchen(x) ∧ BelongsTo(x,y) ∧ KeepClean(x,y) → evaluation(GOOD))	∀x∀y(RoomType(y,KITCHEN) ∧ BelongsTo(y,x) ∧ TriesToKeepClean(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
113	1006	it's not okay if you give in to the victimization cycle.	∀x∀y(VictimizationCycle(x) ∧ GiveIn(y,x) → evaluation(BAD))	∀x(GivesInTo(x, VICTIMIZATION_CYCLE) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
114	1007	it's bad to call your boss to let them know if you'll be late.	∀x∀y(BossOf(x,y) ∧ CallToLetKnowBeLate(x,y) → evaluation(BAD))	∀x∀y∀z((BossOf(y,x) ∧ CallsToInformOfLatness(x,y,z)) → evaluation(BAD))	2.0			Split up long predicate?	∀∃∧→¬∨		0	0
118	1100	it's not ok to not let someone know you disliked their gift.	∀x∀y∀z(¬LetKnowTheyDislikedFrom(x,z,y) ∧ Gift(z) → evaluation(BAD))	∀x∀y∀z(People(x) ∧ Gift(y) ∧ BelongsTo(y,z) ∧ Dislikes(x,y) ∧ ¬Informs(x,z) → evaluation(BAD))	2.0		Lacks connecting the disliking to the informing	Split up long predicate?	∀∃∧→¬∨		0	0
122	1104	it's understandable that sometimes people bend the truth with their friends.	∀x∀y∃z(Truth(x) ∧ Friends(y,z) ∧ BendsWith(y,x,z) → evaluation(GOOD))	∃x∃y∃z(People(x) ∧ Truth(y) ∧ Friends(z,x) ∧ Bend(x,y) → evaluation(GOOD))	2.0		Lacks connecting bending truth with friends		∀∃∧→¬∨		1	1
123	1105	it's rude to mute your significant other on messaging apps no matter what they did.	∀x∀y∀z∀q(MessagingApp(x) ∧ SignificantOtherOf(y,z) ∧ MutesOn(y,z,x) ∧ Did(y,q) → evaluation(BAD))	∀x∀y∀z(SignificantOther(y,x) ∧ MessengerApp(z) ∧ MutesOn(x,z) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
129	1200	it's okay to be curious about how other people accomplish basic tasks.	∃x∀y∀z∀q(People(x) ∧ Task(y) ∧ Basic(y) ∧ UsesMethodForCompleting(x,z,y) ∧ Curious(q,z) → evaluation(GOOD))	∀x∀y∀z(BasicTask(y) ∧ People(z) ∧ Accomplishes(z,y) ∧ CuriousAbout(x,z) → evaluation(GOOD))	2.0		Lacks connecting curious to how task is accomplished	Use x, y, z, q, w, v as predicates when needed (using x1, x2 mess up later on)	∀∃∧→¬∨		1	1
133	1204	it's understandable to compare your body to other people.	∀x∃y∀z∀q(Body(x) ∧ BelongsTo(x,z) ∧ Body(q) ∧ BelongsTo(q,y) ∧ Compare(x,q) → evaluation(GOOD)	∀x∀y∃z(Body(x) ∧ BelongsTo(x,y) ∧ People(z) ∧ CompareTo(y,z,x) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
138	1209	it's disgusting to let another person's toothbrush touch the toilet.	∃x∀y∀z(Person(x) ∧ Toothbrush(y) ∧ BelongsTo(y,x) ∧ LetTouch(z,y,TOILET) → evaluation(BAD))	∀x∀y∀z(Toothbrush(x) ∧ BelongsTo(x, y) ∧ Touches(z, x, TOILET) → evaluation(BAD))	2.0		"Lacks existential quantifier and person predicate in ""other person"""		∀∃∧→¬∨		0	0
141	1301	it is not reasonable to be angry if someone stole from you.	∀x∀y(StealsFrom(x,y) ∧ Angry(y)→ evaluation(BAD))	∀x∀y(Owns(x,y) ∧ ∃z(People(z) ∧ StoleFrom(z,x)) ∧ Angry(x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
151	1401	you shouldn't explain to your parents why if you cannot make it to a birthday party of theirs.	∀x∀y∀z∀q(BirthdayParty(x) ∧ ParentsOf(y,z) ∧ ReasonForNotAttending(z,q,x) ∧ ExplainTo(z,q,y) → evaluation(BAD))	∀x∀y∀z(ParentOf(y,x) ∧ HasBirthdayParty(y,z) ∧ ¬CanAttend(x,z) ∧ ExplainsWhy(x,y,z) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
156	1406	you shouldn't light a candle if your lights are out.	∀x∀y∀z(IsLights(x) ∧ BelongsTo(x,z) ∧ AreOut(x) ∧ Candle(y) ∧ Lights(z,y) → evaluation(BAD))	∀x∀y(Lights(x) ∧ Out(x) ∧ Candle(y) ∧ Light(y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
158	1408	you should not try to understand that people sometimes have problems weighing on their minds that make it hard for them to focus you.	∀x∀y∀z∀q(People(x) ∧ Mind(y) ∧ BelongsTo(y,x) ∧ Problem(q) ∧ TryUnderstandingThatHaveWeighingOnThatMakeHardToFocusOn(z,x,q,y,z) → evaluation(BAD))	∀x∀y∃z∃w(People(y) ∧ HasProblems(y,z) ∧ WeighsOnMind(z,y) ∧ MakesHardToFocus(z,w,x) ∧ TriesToUnderstand(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
167	1506	it's wrong to hurt people with your gardening tools.	∀x∀y∀z(People(x) ∧ GardeningTools(y) ∧ BelongsTo(y,z) ∧ HurtWith(z,x,y) → evalaution(BAD))	∀x∀y∀z(People(x) ∧ Tools(z) ∧ BelongsTo(z,y) ∧ GardeningTool(z) ∧ HurtWith(y,x,z) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
172	1610	you should tell someone what to eat and not eat.	∀x∀y(TellWhatToEat(x,y) ∧ TellWhatNotToEat(x,y) → evaluation(GOOD))	∀x∀y∀z∀w(People(y) ∧ Food(z) ∧ Food(w) ∧ TellWhatToEat(x,y,z) ∧ TellWhatNotToEat(x,y,w) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
203	1809	it's good to give a lesson on ending sexual harassment at school.	∀x∀y(GiveLessonOnAt(x,ENDING_SEXUAL_HARRASSMENT,SCHOOL) → evaluation(GOOD))	∀x∀y∀z(Teacher(x) ∧ Lesson(y) ∧ Gives(x,y) ∧ EndSexualHarassment(y) ∧ AtSchool(z) ∧ Located(y, z) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
204	1810	it's bad to gloat about getting to do something unavailable for others to follow.	∀x∀y∃z(GloatAboutGettingToDo(x,y) ∧ ¬AvailableFor(y,z) → evaluation(BAD))	∀x∀y∀z(DoSomething(x,z) ∧ UnavailableForOthers(y,z) ∧ GloatAbout(x,z) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
206	1901	you should let a roommate invite family over without your permission.	∀x∀y∀z(RoommateOf(x,y) ∧ FamilyOf(z,x) ∧ InviteOver(x,z) ∧ ¬PermissionToInviteOver(x,y,z) → evaluation(GOOD))	∀x∀y∀z∀w(RoommateOf(x,y) ∧ FamilyOf(z,w) ∧ InvitesOverWithoutPermission(y,z,x) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
207	1902	it's not noble to take care of many strays.	∀x(TakeCareOfMany(x,STRAY) → evaluation(BAD))	∀x∀y(Man(x) ∧ Many(y) ∧ Strays(y) ∧ TakesCareOf(x,y) → evaluation(GOOD))	2.0			"not sure about the ""many"" "	∀∃∧→¬∨		0	1
220	2005	people shouldn't keep trying to find love despite rejections.	∀x(TryToFindLove(x) ∧ Rejected(x) → evaluation(BAD))	∀x(People(x) ∧ ∃y(Rejected(x,y) ∧ KeepTrying(x,y)) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
239	2202	it is insensitive to ignore the anniversary of a death.	∀x∀y∀z(Death(x) ∧ AnniversaryFor(y,x) ∧ Ignore(z,y) → evaluation(BAD))	∀x∀y(AnniversaryOf(x, DEATH) ∧ Ignore(y,x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
257	2309	if you need something expensive you are not expected to work for it and earn the money youself.	∀x∀y(Expensive(x) ∧ Need(y,x) ∧ WorkFor(y,x) ∧ EarnMoneyFor(y,x) → evaluation(BAD))	∀x∀y(Needs(x,y) ∧ Expensive(y) ∧ ¬(WorksForAndEarns(x, y)) → evaluation(GOOD))	2.0				∀∃∧→¬∨		0	1
259	2401	it's not frowned upon for people to continue a relationship with a former romantic interest when they've moved on to other relationships.	∀x∀y∀z∃q(People(x) ∧ FormerRomanticInterestOf(y,x) ∧ ContinueRelationshipWith(x,y) ∧ MovedOnToRelationship(x,q) → evaluation(GOOD))	∀x∀y∀z∃v(People(x) ∧ PastRomanticInterest(y,x) ∧ CurrentRelationship(x,z) ∧ OtherRelationships(v,x) ∧ ContinuesWith(x,y) → evaluation(GOOD))	2.0			Long predicates...	∀∃∧→¬∨		1	1
274	2505	it's not okay if you stop caring about someone just because you have a better situation in life.	∀x∀y∀z(StopCaringAbout(x,y) ∧ BetterSituationInLife(z) ∧ Have(x,z) → evaluation(BAD))	∀x∀y∀z(CaresAbout(x,y) ∧ BetterSituation(x,z) ∧ ¬CaresAboutAfter(x,y,z) → evaluation(BAD))	2.0			just because...	∀∃∧→¬∨		0	0
283	2603	it is unacceptable to judge someone on their skin color or ethnicity.	∀x∀y∀z(SkinColor(x) ∧ Ethnicity(y) ∧ BelongsTo(x,z) ∧ BelongsTo(y,z) ∧ (JudgeOn(q,z,x) ∨ JudgeOn(q,z,y)) → evaluation(BAD))	∀x∀y(Judge(x,y) ∧ (∃z(SkinColor(z) ∧ Has(y,z)) ∨ ∃w(Ethnicity(w) ∧ Has(y,w))) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
297	2706	it's ok to judge people just because they don't like the same things as you.	∀x∀y∀z(Thing(y) ∧ Like(x,y) ∧ ¬Like(z,y) ∧ People(z) ∧ Judge(x,z) → evaluation(GOOD))	∀x∀y∀z(People(x) ∧ People(y) ∧ ¬LikesSameThingsAs(x,y) ∧ Judges(z,x) → evaluation(GOOD))	2.0			just because	∀∃∧→¬∨		1	1
311	2809	you should not keep important health information from family	∀x∀y∀z(FamilyOf(x,y) ∧ HealthInformation(z) ∧ Important(z) ∧ KeepFrom(y,z,x) → evaluation(BAD))	∀x∀y∀z(Important(x) ∧ HealthInformation(x) ∧ FamilyOf(y,z) ∧ KeepsFrom(z,x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
314	2901	it is okay to do things to increase your self confidence	∀x∀y∀z(SelfconficenceOf(x,y) ∧ Increases(z,x) ∧ Do(y,z) → evaluation(GOOD))	∀x∀y(Thing(x) ∧ SelfConfidence(y) ∧ DoToIncrease(y,x) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
329	3005	people should let their fears stop them from going to new places.	∀x∀y(Fear(x) ∧ BelongsTo(x,y) ∧ LetStopFromGoingNewPlaces(y,x) → evaluation(GOOD))	∀x∀y∀z(People(x) ∧ Fear(y,x) ∧ NewPlace(z) ∧ StopFromGoingTo(y,z) → evaluation(GOOD))	2.0			Long predicate	∀∃∧→¬∨		1	1
337	3102	it's good to travel to foreign countries.	∀x∀y(Country(x) ∧ Foreign(x) ∧ TravelTo(y,x) → evaluation(GOOD))	∀x∃y(Traveler(x) ∧ ForeignCountry(y) ∧ TravelTo(x,y) → evaluation(GOOD))	2.0			CONTRADICTION 4243: it's bad to travel to foreign countries.	∀∃∧→¬∨		1	1
348	3202	it's not understandable to seek out healthy people to be intimate with.	∀x∀y(People(x) ∧ Healthy(x) ∧ SeekOutToBeIntimateWith(y,x) → evaluation(BAD))	∀x∀y(People(x) ∧ Healthy(y) ∧ SeekOut(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
354	3208	you shouldn't call other people besides your partner.	∀x∀y∃z(PartnerOf(x,y) ∧ People(z) ∧ Call(y,z) → evaluation(BAD))	∀x∀y∃z(PartnerOf(x,y) ∧ People(z) ∧ ¬SamePerson(y,z) ∧ Calls(x,z) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
356	3210	it's unreasonable to be excited about finding one's perfect mate.	∀z∀y(PerfectMateOf(x,y) ∧ ExcitedAboutFinding(y,x) → evaluation(BAD))	∀x∃y(ExcitedAbout(x,y) ∧ PerfectMate(y) ∧ Find(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
358	3301	it's understandable if blind dates don't go well.	∀x(BlindDate(x) ∧ ¬GoWell(x) → evaluation(GOOD))	∀x∀y(BlindDate(x,y) ∧ ¬GoesWell(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
363	3306	sending a sweet letter to someone in need, is not a kind thing to do.	∀x∀y∀z(Letter(x) ∧ Sweet(x) ∧ InNeed(y) ∧ SendTo(z,x,y) → evaluation(BAD))	∀x∀y(Letter(x) ∧ Sweet(x) ∧ InNeed(y) ∧ SentTo(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
365	3308	you shouldn't communicate your grievances with people before you cut them out of your life.	∀x∀y∀z(Grievance(x) ∧ BelongsTo(x,y) ∧ CommunicateWithBeforeCuttingOutOfLife(y,x,z) ∧ People(z) → evaluation(BAD))	∀x∀y∀z(Grievance(y) ∧ BelongsTo(y,x) ∧ People(z) ∧ CommunicatesWith(x,z,y) ∧ CutsOut(x,z) → evaluation(BAD))	2.0			"Long predicate with ""before"""	∀∃∧→¬∨		0	0
366	3309	it is bad to like and date whoever you want to	∀x∀y(Like(x,y) ∧ WantToLike(x,y) ∧ Date(x,y) ∧ WantToDate(x,y) → evaluation(BAD))	∀x∀y(Likes(x,y) ∧ Dates(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
368	3400	you should not try to be more optimistic about finding your lost pet.	∀x∀y(Pet(x) ∧ Lost(x) ∧ BelongsTo(x,y) ∧ TryToBeMoreOptimisticAboutFinding(y,x) → evaluation(BAD))	∀x∀y(Pet(y) ∧ BelongsTo(y,x) ∧ Lost(y) ∧ TriesToBe(x, OPTIMISTIC_ABOUT_FINDING, y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
374	3406	it's good to buy something to commemorate an anniversary retreat.	∀x∀y(AnniversaryRetreat(x) ∧ BuysToCommemorate(y,z,x) → evaluation(GOOD))	∀x∀y(AnniversaryRetreat(y) ∧ BuySomethingToCommemorate(x,y) → evaluation(GOOD))	2.0			Long predicate	∀∃∧→¬∨		1	1
375	3407	people shouldn't step back and assess situations from a different angle when they find themselves confused.	∀x∀y(Situation(x) ∧ Confused(y) ∧ StepBack(y) ∧ AssessFromDifferentAngle(y,x) ∧ People(y) → evaluation(BAD))	∀x∀y(FindsThemselves(x, CONFUSED) ∧ StepsBackAndAssessFromDifferentAngle(x, y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
383	3506	it is okay to bail out of a funeral if you need to	∀x∀y(Funeral(x) ∧ NeedToBailOutOf(y,x) ∧ BailOutOf(y,x) → evaluation(GOOD))	∀x∀y(Funeral(y) ∧ NeedToBailOut(x,y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
385	3508	it's ok to have doubts in a relationship.	∀x∀y∀z(Relationship(x) ∧ Doubts(y) ∧ HaveIn(z,y,x) → evaluation(GOOD))	∀x∀y(Relationship(x,y) ∧ HaveDoubts(y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
389	3601	it's acceptable to use different kinds of cups for alcohol.	∀x∃y∃z∀q(Alcohol(x) ∧ Cup(y) ∧ Cup(z) ∧ UseFor(q,y,x) ∧ UseFor(q,z,x) → evalution(GOOD))	∀x∀y∀z(Alcohol(x) ∧ Cup(y) ∧ DifferentKindOf(y,z) ∧ UseFor(z,x) → evaluation(GOOD))	2.0			Use predicate Different rather than constants?	∀∃∧→¬∨		1	1
392	3604	it is not ok to bring refreshments to a get together.	∀x∀y∀z(GetTogehter(x) ∧ Refreshment(y) ∧ BringTo(z,y,x) → evaluation(BAD))	∀x∀y(Refreshment(x) ∧ GetTogether(y) ∧ BringsTo(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
407	3709	it's useless to have good self-esteem	∀x∀y(SelfEsteem(x) ∧ Good(x) ∧ Has(y,x) → evaluation(BAD))	∀x(SelfEsteem(x) ∧ Good(x) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
411	3802	daughters are expected to share secrets with their mother.	∀x∀y∀z(MotherOf(x,y) ∧ Daughter(y) ∧ Secret(z) ∧ ShareWith(y,z,x) → evaluation(GOOD))	∀x∀y∀z(Daughter(x) ∧ Mother(y) ∧ Secret(z) ∧ SharesWith(x,y,z) → evaluation(GOOD))	2.0				∀∃∧→¬∨		1	1
413	3804	it is unexpected that people will be appreciative of other countries.	∀x∃y(People(x) ∧ Country(y) ∧ AppreciativeOf(x,y) → evaluation(BAD))	∀x∀y(People(x) ∧ Country(y) ∧ AppreciativeOf(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
416	3807	it's bad if you have romantic feelings for your doctor.	∀x∀y∀z(DoctorOf(x,y) ∧ Feeling(z) ∧ Romantic(z) ∧ HaveFor(y,z,x) → evaluation(BAD))	∀x∀y(Doctor(y) ∧ HasRomanticFeelings(x,y) → evaluation(BAD))	2.0				∀∃∧→¬∨		0	0
